Gene1,Gene2,CC,p_value,Gene1_ID,Gene2_ID
SOX13,ZNF276,0.8595481768430945,0.02820474542494177,ENSG00000143842,ENSG00000158805
ZBTB48,ZNF276,0.9890753869824237,1.7836884355447268e-4,ENSG00000204859,ENSG00000158805
ETV3,ZNF276,0.9715228696449694,0.0012048737088366458,ENSG00000117036,ENSG00000158805
ARNT,ZNF276,0.9434990963468725,0.004698342780830754,ENSG00000143437,ENSG00000158805
RLF,ZNF276,0.8252838238202466,0.04312194285054663,ENSG00000117000,ENSG00000158805
ZBTB43,ZNF276,0.8901132011391741,0.01744921533282856,ENSG00000169155,ENSG00000158805
ZNF276,ZNF319,0.9549645932126325,0.002996611663995938,ENSG00000158805,ENSG00000166188
TCF3,ZNF276,0.7176835786713274,0.10830317162549098,ENSG00000071564,ENSG00000158805
MIER2,ZNF276,0.7835311273003792,0.06521642640453668,ENSG00000105556,ENSG00000158805
ETS1,ZNF276,0.8039686566791782,0.0538758569298877,ENSG00000134954,ENSG00000158805
ZNF276,ZNF652,0.8109537883477803,0.050229594014972005,ENSG00000158805,ENSG00000198740
ARID3B,ZNF276,0.7864211476384564,0.06355259068306367,ENSG00000179361,ENSG00000158805
IRF6,ZNF276,0.7672518308806903,0.0749533821557263,ENSG00000117595,ENSG00000158805
FOXK2,ZNF276,0.7730424637799652,0.07141932493083736,ENSG00000141568,ENSG00000158805
E2F4,ZNF276,0.929262188346621,0.007328776721357483,ENSG00000205250,ENSG00000158805
CTCFL,ZNF276,0.8082689227842726,0.051617114491452495,NA,ENSG00000158805
PHTF1,ZNF276,0.8310313583187049,0.04041354149558132,ENSG00000116793,ENSG00000158805
RERE,ZNF276,0.7982312231024219,0.05695889104387554,ENSG00000142599,ENSG00000158805
SFPQ,ZNF276,0.9640968178402359,0.0019104174419515066,ENSG00000116560,ENSG00000158805
CREB3,ZNF276,0.9390458513262164,0.005459877587679555,ENSG00000107175,ENSG00000158805
PPARD,ZNF276,0.7476301028794579,0.08749905679410325,ENSG00000112033,ENSG00000158805
TFAM,ZNF276,0.9713929907457349,0.0012158360376681476,ENSG00000108064,ENSG00000158805
MTA1,ZNF276,0.9385784035855599,0.005543058817758723,ENSG00000182979,ENSG00000158805
E2F1,ZNF276,0.8755196215663067,0.022278612496871904,ENSG00000101412,ENSG00000158805
NFYC,ZNF276,0.9557939648693563,0.0028880671808336708,ENSG00000066136,ENSG00000158805
MLX,ZNF276,0.9613678137669988,0.0022098404974139653,NA,ENSG00000158805
STAT3,ZNF276,0.9125229639423853,0.011143650475955991,ENSG00000168610,ENSG00000158805
STAT5B,ZNF276,0.9653993641501357,0.0017750939919803509,NA,ENSG00000158805
NFATC3,ZNF276,0.864756243258643,0.02619944736710132,ENSG00000072736,ENSG00000158805
ZBTB8B,ZNF276,0.9042541815148544,0.013312029145971214,NA,ENSG00000158805
MYBL2,ZNF276,0.9550377954817484,0.0029869519600907914,ENSG00000101057,ENSG00000158805
