gene_id,gene_short_name,PS_cEpiblast,NP_Epiblast,Induced_5hrs,Induced_9hrs,Induced_12hrs,FC_0hrs,FC_5hrs,FC_9hrs,FC_12hrs,FC_PS,FC_NP
ENSGALG00000000129,TCF25,8.1822,8.91535,8.64482,7.41972,9.95737,1.043239767,0.952348533,0.847539871,0.886999706,0.927963781,0.733441652
ENSGALG00000000172,MYOG,0,0.0462381,0.10389,0.377512,0.0341236,0.654695351,0.168097004,0.198516041,0.017312573,0,0.637373923
ENSGALG00000000233,SP2,6.32252,6.00504,4.48374,5.05561,3.79313,1.198751489,1.051590494,0.946601633,0.828259427,1.053800754,0.826225502
ENSGALG00000000242,EBF2,0.0920362,0.84518,0.06394,0.23229,0.321348,1.305777291,1.096235185,0.23229,0.321348,1.935306289,21.24074842
ENSGALG00000000284,HOXB4,0.0566445,0,0,0.573017,11.8443,0.0688304,0,1.905749672,34.78246825,0.38699793,0
ENSGALG00000000365,NKX2-6,0,0.189261,0.135301,0.0736105,0.167404,0.588558843,0.135301,0.0736105,0.167404,0,1.673809608
ENSGALG00000000504,ETV7,5.70951,3.56744,2.19413,2.06796,1.87364,1.156526733,1.768889068,0.948383635,1.686793846,1.244813197,2.453214504
ENSGALG00000000513,ZNF276,21.5546,14.2676,16.58,14.7001,11.9771,0.739125452,1.060210763,1.106585267,0.94560283,0.963626935,0.945964224
ENSGALG00000000583,SOX13,59.6072,59.8613,48.4695,66.2164,55.3895,0.434508299,3.197871582,2.935020035,3.252638131,2.069802247,1.983995148
ENSGALG00000000616,ELF3,1.16036,0.490258,1.99133,4.37573,3.3941,3.217809203,0.20872955,0.156117166,0.133804566,0.32308956,0.02885551
ENSGALG00000000637,ZBTB48,15.7505,11.4546,11.0465,11.6249,9.02978,0.875494501,1.022246694,1.000964378,0.938376372,1.146766948,0.996849654
ENSGALG00000000669,ETV3,27.3662,19.1591,25.7965,23.799,18.8131,1.206531894,0.761475337,0.648124445,0.551702194,0.954943575,0.627391716
ENSGALG00000000713,ZFHX3,2.03141,2.48603,2.44081,2.91027,2.73716,2.054256579,0.378363254,0.32937628,0.237499675,0.80896572,0.307861011
ENSGALG00000000751,ARNT,118.383,106.168,97.4865,100.986,95.6598,0.90523611,1.104407593,1.268507388,1.227688896,1.136582275,0.99937873
ENSGALG00000000836,RFX5,4.91185,3.54923,1.78644,2.13415,3.16569,1.588511229,0.579262579,1.017012557,1.133287033,1.018994708,0.429843418
ENSGALG00000000838,THAP12,5.86792,8.13845,7.03651,6.22496,6.28365,0.891349547,0.819131313,1.094702485,0.964676208,0.723637673,1.263608896
ENSGALG00000000862,RLF,15.3814,13.1495,13.5019,17.808,16.4476,1.03003281,0.934762742,1.176649377,1.287543838,0.971956121,1.563137092
ENSGALG00000000887,NR0B2,0.215651,0.203511,0.0571088,0.207376,0.224733,1.959943126,2.194879915,0.793683477,0.404881283,1.354396036,1.698274279
ENSGALG00000000934,ZBTB43,15.9775,11.6093,17.5573,14.3899,15.62,0.899061929,1.068950611,0.980692691,0.961189364,0.828893374,1.219027638
ENSGALG00000000972,PBX3,2.17793,23.9422,2.64696,4.54175,7.1791,1.37314882,0.428589471,0.67527283,0.769509457,0.762788857,1.605813665
ENSGALG00000000999,ZNF319,15.6647,13.5129,13.5032,14.1076,12.1236,0.423903964,1.606263657,1.379487029,1.173039709,1.962724436,1.788319526
ENSGALG00000001006,TP73,1.35414,1.27395,0.846333,0.494805,1.22505,0.901176015,0.992621601,0.823508363,1.295678744,1.094926985,1.910004378
ENSGALG00000001031,HSF5,1.59939,1.76568,1.56582,1.17009,1.42074,1.188067594,0.735092249,0.511747417,0.57590252,1.025190854,0.568342174
ENSGALG00000001073,NR6A1,41.9406,150.064,158.305,188.976,184.702,0.827251192,0.946987145,0.942082016,0.857706739,0.770353744,1.339079998
ENSGALG00000001080,NR5A1,0.259609,0.137748,0.343456,0.499086,0.236338,2.871637124,0.226128979,0.438132945,0.235974599,0.82105899,0.136349059
ENSGALG00000001093,TCF3,88.0958,116.168,117.57,143.06,118.729,0.588138981,1.686788474,1.812953761,1.680968636,1.49678202,2.171238676
ENSGALG00000001108,MIER2,10.0373,14.1792,11.4719,11.0543,10.8859,0.737418388,1.1036085,1.453149874,1.203170315,1.13862133,1.471107906
ENSGALG00000001124,LHX2,0.363419,0.611077,0.239894,0.522236,0.409516,0.262799403,0.239894,8.149674004,7.900391435,6.263944045,27.24543663
ENSGALG00000001141,HES5,0.273538,0.55508,2.09142,2.60501,5.87095,0.298641593,54.11023231,17.95332842,75.01795284,0.216610575,9.393249681
ENSGALG00000001143,ETS1,47.4988,6.4277,19.0179,21.3319,11.0778,1.527750172,0.531683683,1.222206307,0.770806516,0.857201123,0.3211971
ENSGALG00000001161,FLI1,0.0549894,0.0290657,0.0495211,0.315922,0.341994,2.148760831,1.097140895,0.564249203,0.314165243,0.431722828,0.165983485
ENSGALG00000001191,MEOX1,0.0647651,0.86889,0.180066,0,0.255906,0,0.180066,0,0.255906,0.0647651,20.69263616
ENSGALG00000001252,CREB3L3,0.154031,0.0635757,0.214049,0.172809,0.109154,1.306070105,0.448340577,0.162893663,0.034430506,0.446603884,0.10050064
ENSGALG00000001253,RC3H2,3.01276,9.24648,7.91193,9.3223,7.71167,1.777808954,0.495921399,0.54284949,0.541025551,0.484504433,1.237031973
ENSGALG00000001276,HOXB9,0.0989533,0,0,0,0,1,0,0,0,1.934601128,0
ENSGALG00000001279,ZNF652,21.1083,22.391,29.2842,27.5684,23.4084,0.737185923,1.088215293,1.088098894,0.964499382,1.106305031,0.9678242
ENSGALG00000001341,ZBTB44,12.6496,33.2619,21.7407,29.8749,26.4347,0.961647969,1.136828069,1.980332498,2.16031545,1.016579203,3.853280198
ENSGALG00000001347,LHX6,0.479012,0.56137,0.588719,0.583446,0.17581,0.476210212,6.027097003,1.588122412,1.774756086,1.856808385,2.582376889
ENSGALG00000001376,ARID3B,29.5329,33.5626,44.9383,41.0274,33.2404,0.772797369,1.104577509,1.103842573,0.841026627,0.993280126,1.036212129
ENSGALG00000001405,IRF6,46.7232,12.0109,57.1202,49.8933,32.694,0.957318077,0.756942926,0.56268143,0.391656075,0.65538156,0.201484262
ENSGALG00000001577,FOXK2,9.587,12.7599,14.339,10.6199,11.3981,0.846418858,0.987976711,0.57971418,0.656096382,0.726810962,1.219211328
ENSGALG00000001639,MTF1,2.78184,4.42145,5.13143,4.13361,3.66054,1.012526723,1.115744133,0.934971082,0.714000936,0.823221996,1.663149619
ENSGALG00000001722,E2F4,18.2934,18.684,17.3021,13.7763,13.7131,0.758792285,1.078052762,1.254683558,1.276456516,1.009040514,1.327252579
ENSGALG00000001773,RFX2,1.80197,13.8195,2.10031,6.98376,5.44176,1.289800077,0.502985135,2.095262097,2.043792111,0.872836038,3.45448637
ENSGALG00000001817,CTCFL,40.1191,48.7149,34.013,42.3644,41.5186,1.075482904,0.89880663,1.102134579,1.013939699,0.99086908,1.264684808
ENSGALG00000001845,PHTF1,20.2313,26.8463,20.7204,21.7491,17.0748,0.670691685,1.944317766,2.68104258,2.747932388,1.258431509,3.582860224
ENSGALG00000002055,HES4,18.7322,50.6908,19.8487,24.1058,28.3579,0.996347368,0.760073064,0.482430545,1.059656819,0.968868476,1.841935437
ENSGALG00000002093,NR2E3,0.0192006,0.126831,0.0712003,0,0.210241,1.307462188,0.312729165,0,1.063386088,0.0192006,0.107639885
ENSGALG00000002105,FOXI1,0,0.0245621,0,0,0,1,0,0,0,0,0.239051855
ENSGALG00000002182,NR5A2,0.154386,0.212382,0.247847,0.0692619,0.212428,1.004256658,0.303290655,0.066175476,0.102901099,0.537604379,1.831795208
ENSGALG00000002191,TLX3,0.135189,0.0669955,0.150519,0.0607716,0.131822,1.745573649,0.131140385,0.027147509,0.039428708,0.537505169,0.011030517
ENSGALG00000002223,LHX9,0.0206707,0.119481,0.038332,0.278551,0,1.307784619,0.038332,6.352664552,0,0.0206707,0.119481
ENSGALG00000002232,RERE,17.7484,24.06,20.4918,23.6988,16.1963,0.671502747,1.551386586,1.207797569,0.867048898,1.310793046,1.993371997
ENSGALG00000002514,SFPQ,473.075,387.36,345.364,319.831,334.299,0.873119375,1.146276702,1.063020574,1.369892596,1.063302548,1.277349276
ENSGALG00000002523,CREB3,16.4715,14.6326,16.6297,14.487,14.2475,1.01362021,0.812798757,0.632139772,0.530597576,0.70982241,0.672750846
ENSGALG00000002588,PPARD,14.0799,16.1684,16.6349,16.9568,19.5311,0.683719169,0.717891066,0.992612539,1.054936805,0.954187816,0.87193149
ENSGALG00000002630,ZNF76,4.74535,4.81086,3.41968,4.48381,4.77143,0.923247204,1.019093399,1.129389036,1.260842106,0.877798064,0.982929505
ENSGALG00000002703,TFAM,222.435,144.523,157.862,129.855,152.523,1.278109995,0.945881817,0.971147158,1.142793991,0.915664287,0.815261293
ENSGALG00000002792,SPDEF,1.45634,5.11486,1.8794,7.10374,6.57868,0.47237363,5.449463288,4.128953135,6.75529031,1.934767331,8.61421089
ENSGALG00000002803,MTA1,143.197,75.0444,144.705,108.711,64.6546,0.24323693,4.639988457,2.579745706,1.55110981,2.073632887,2.097331258
ENSGALG00000002886,NKX2-5,0.0420091,0.0173446,0,0.0471768,0.766971,1,0,0.529388794,7.091078033,1.935127391,0.004464757
ENSGALG00000002888,CASZ1,0.0469154,0.228005,0.144765,1.02839,0.417225,0.695672296,1.266480031,0.776477428,0.565721143,0.580619611,1.74050947
ENSGALG00000002968,ZNF341,5.86817,4.74337,5.13,4.41438,4.09519,0.687567251,0.995387842,1.274487896,0.808211203,0.963694977,0.787945687
ENSGALG00000003045,E2F1,16.1038,19.0545,15.5614,13.1321,13.0684,0.863932551,1.149758026,1.041866332,1.124028074,0.808082937,1.438726971
ENSGALG00000003059,HLF,9.06089,9.11123,9.62808,8.30745,6.79993,1.252606958,0.758349414,0.846274992,0.62518319,0.721741728,1.072850996
ENSGALG00000003120,NCOR2,5.65128,6.83429,8.93625,8.92041,7.4639,1.233179466,0.914018583,0.793729646,0.59898082,1.024733086,0.67802514
ENSGALG00000003136,IKZF2,0.777535,1.55614,1.32312,2.51864,1.80522,2.207547312,0.435675384,0.854427954,0.494980875,0.790217196,0.559476814
ENSGALG00000003189,NFYC,149.515,132.174,118.649,113.48,112.288,1.052895515,1.018306499,0.974436917,0.916531988,1.13813,0.781854104
ENSGALG00000003199,MLX,77.1753,60.839,61.0366,57.5366,60.7516,1.251771888,0.806549483,0.766816245,0.910331352,0.840048982,1.177639958
ENSGALG00000003224,HSF4,0.0418555,0.0172812,0.0776192,0.0940077,0.0254718,0.653920679,0.0776192,0.0940077,0.0254718,0.967567068,0.318484649
ENSGALG00000003247,NFYA,21.0419,34.1218,23.9536,30.2298,30.1824,0.708056409,0.996990747,1.57330516,1.490827546,0.96455666,1.583238601
ENSGALG00000003267,STAT3,46.887,36.2986,51.0407,49.6551,39.1966,1.09343132,0.937453739,0.536912309,0.540192722,0.694885764,0.881594606
ENSGALG00000003282,STAT5B,32.3212,19.329,18.9057,22.9505,19.3515,1.05487234,0.937819953,1.168499567,0.945687073,1.221511716,0.740503783
ENSGALG00000003324,PRRX1,0.686705,1.26887,0.387155,0.84324,0.832393,1.379165967,0.498464007,0.832410341,0.406306988,1.952336276,0.33561508
ENSGALG00000003396,NFATC3,38.2606,35.4015,42.2318,34.1353,41.6722,0.928397558,1.051237884,0.92122869,1.084634505,0.846510908,1.346960906
ENSGALG00000003408,ZBTB8B,12.4421,11.5808,9.33745,6.69253,8.64033,1.178030404,0.992408236,0.820733279,0.828323954,1.142399368,0.834033114
