"","Gene1","Gene2","CC","p_value","Gene1_ID","Gene2_ID","Interaction"
"1","SOX13","ZNF276",0.859548176843094,0.0282047454249418,"ENSG00000143842","ENSG00000158805",FALSE
"2","ZBTB48","ZNF276",0.989075386982424,0.000178368843554473,"ENSG00000204859","ENSG00000158805",FALSE
"3","ETV3","ZNF276",0.971522869644969,0.00120487370883665,"ENSG00000117036","ENSG00000158805",FALSE
"4","ARNT","ZNF276",0.943499096346872,0.00469834278083075,"ENSG00000143437","ENSG00000158805",FALSE
"5","RLF","ZNF276",0.825283823820247,0.0431219428505466,"ENSG00000117000","ENSG00000158805",FALSE
"6","ZBTB43","ZNF276",0.890113201139174,0.0174492153328286,"ENSG00000169155","ENSG00000158805",FALSE
"7","ZNF276","ZNF319",0.954964593212632,0.00299661166399594,"ENSG00000158805","ENSG00000166188",FALSE
"8","TCF3","ZNF276",0.717683578671327,0.108303171625491,"ENSG00000071564","ENSG00000158805",FALSE
"9","MIER2","ZNF276",0.783531127300379,0.0652164264045367,"ENSG00000105556","ENSG00000158805",FALSE
"10","ETS1","ZNF276",0.803968656679178,0.0538758569298877,"ENSG00000134954","ENSG00000158805",FALSE
"11","ZNF276","ZNF652",0.81095378834778,0.050229594014972,"ENSG00000158805","ENSG00000198740",FALSE
"12","ARID3B","ZNF276",0.786421147638456,0.0635525906830637,"ENSG00000179361","ENSG00000158805",FALSE
"13","IRF6","ZNF276",0.76725183088069,0.0749533821557263,"ENSG00000117595","ENSG00000158805",FALSE
"14","FOXK2","ZNF276",0.773042463779965,0.0714193249308374,"ENSG00000141568","ENSG00000158805",FALSE
"15","E2F4","ZNF276",0.929262188346621,0.00732877672135748,"ENSG00000205250","ENSG00000158805",FALSE
"16","CTCFL","ZNF276",0.808268922784273,0.0516171144914525,NA,"ENSG00000158805",FALSE
"17","PHTF1","ZNF276",0.831031358318705,0.0404135414955813,"ENSG00000116793","ENSG00000158805",FALSE
"18","RERE","ZNF276",0.798231223102422,0.0569588910438755,"ENSG00000142599","ENSG00000158805",FALSE
"19","SFPQ","ZNF276",0.964096817840236,0.00191041744195151,"ENSG00000116560","ENSG00000158805",FALSE
"20","CREB3","ZNF276",0.939045851326216,0.00545987758767956,"ENSG00000107175","ENSG00000158805",FALSE
"21","PPARD","ZNF276",0.747630102879458,0.0874990567941032,"ENSG00000112033","ENSG00000158805",FALSE
"22","TFAM","ZNF276",0.971392990745735,0.00121583603766815,"ENSG00000108064","ENSG00000158805",FALSE
"23","MTA1","ZNF276",0.93857840358556,0.00554305881775872,"ENSG00000182979","ENSG00000158805",FALSE
"24","E2F1","ZNF276",0.875519621566307,0.0222786124968719,"ENSG00000101412","ENSG00000158805",FALSE
"25","NFYC","ZNF276",0.955793964869356,0.00288806718083367,"ENSG00000066136","ENSG00000158805",FALSE
"26","MLX","ZNF276",0.961367813766999,0.00220984049741397,NA,"ENSG00000158805",FALSE
