"","all_genes","Freq"
"1","NR2C1",250
"2","NR1D2",248
"3","TEAD4",248
"4","SRF",247
"5","SMARCA5",246
"6","SP3",246
"7","XBP1",246
"8","ZBTB1",245
"9","FOXM1",244
"10","HSF2",244
"11","MIER2",244
"12","TFDP2",244
"13","MIER1",243
"14","SOX13",243
"15","YY1",243
"16","ZNF777",243
"17","DNAJC1",242
"18","HMG20B",242
"19","PATZ1",242
"20","RLF",242
"21","KDM5A",241
"22","PLAGL2",240
"23","PPARD",240
"24","TFDP1",240
"25","UBP1",240
"26","ATF4",239
"27","CTCFL",239
"28","LRRFIP2",239
"29","NCOR1",239
"30","RERE",239
"31","SMARCE1",239
"32","ZBTB14",239
"33","ZNF319",239
"34","ZNF740",239
"35","ADNP",238
"36","CREB3",238
"37","GABPA",238
"38","STAT3",238
"39","ZBTB26",238
"40","ZNF451",238
"41","NR2F6",237
"42","PHTF1",237
"43","RCOR3",237
"44","YBX1",237
"45","ZNF652",237
"46","CDC5L",236
"47","FOXJ2",236
"48","NFATC3",236
"49","ARNT",235
"50","FOXN2",235
"51","SP1",235
"52","TCF3",235
"53","ARNTL",234
"54","NFE2L2",234
"55","ZNF362",234
"56","ZNF639",234
"57","E2F8",233
"58","E4F1",233
"59","KDM5B",233
"60","ZC3H6",233
"61","DNAJC2",232
"62","TEF",232
"63","ARID3B",231
"64","ETV5",231
"65","DMAP1",230
"66","FOXK2",230
"67","HSF1",230
"68","NFE2L1",230
"69","NFYA",230
"70","PBRM1",230
"71","TFCP2",230
"72","UBTF",230
"73","ZNF512",230
"74","DNMT1",229
"75","MYNN",229
"76","GATAD2A",228
"77","KDM2A",228
"78","E2F7",227
"79","ETV3",227
"80","NR1H3",227
"81","PHTF2",227
"82","TBPL1",227
"83","TSC22D1",227
"84","SMARCC1",226
"85","NONO",225
"86","ARID1B",224
"87","CEBPG",224
"88","SALL4",224
"89","ZBTB43",224
"90","MUM1",223
"91","TSC22D2",223
"92","ZNF335",223
"93","E2F1",222
"94","HMGA1",222
"95","SMAD5",222
"96","TGIF2",222
"97","ZBTB2",222
"98","ATF2",221
"99","GMEB1",221
"100","NFXL1",221
"101","MLXIP",220
"102","SMARCA1",220
"103","MLX",219
"104","NFYC",219
"105","ZBTB46",219
"106","ZNF384",219
"107","POU2F1",218
"108","E2F4",217
"109","FOXO4",217
"110","LYAR",217
"111","PRDM4",217
"112","RFXAP",217
"113","VEZF1",217
"114","HIVEP1",215
"115","MTA2",215
"116","GTF3A",214
"117","RAC3",214
"118","ZNF410",214
"119","ZNF516",214
"120","HMG20A",213
"121","NSD2",213
"122","TBP",213
"123","THAP5",213
"124","SREBF2",212
"125","ZBTB39",212
"126","GATAD1",211
"127","STAT1",211
"128","NCOA3",209
"129","PHF5A",209
"130","TCF12",209
"131","ZBTB17",209
"132","SMARCC2",208
"133","MYBL2",207
"134","PCM1",207
"135","E2F3",206
"136","EAF2",206
"137","KAT7",206
"138","MYCN",206
"139","SCX",206
"140","ZBTB7A",205
"141","NFKB1",204
"142","ADNP2",203
"143","ARID3A",203
"144","CNOT4",203
"145","MYCL",203
"146","SFPQ",203
"147","SP4",203
"148","THAP4",201
"149","ZNF143",201
"150","HEY1",200
"151","MAX",200
"152","HBP1",199
"153","KAT6A",199
"154","MAFK",198
"155","YBX3",198
"156","KLF10",197
"157","SSRP1",197
"158","ZNF277",197
"159","OTX2",196
"160","PBX1",196
"161","ZNF276",196
"162","HPF1",195
"163","NFYB",195
"164","HMBOX1",194
"165","SIX4",194
"166","HIF1A",193
"167","ZBTB48",193
"168","NCOA1",192
"169","RARA",192
"170","ZNF414",192
"171","RFX7",190
"172","TFAM",190
"173","GATAD2B",189
"174","HMGXB4",189
"175","TFAP4",189
"176","TCF7L2",188
"177","ZNF511",188
"178","PBX4",186
"179","REL",186
"180","TEAD3",186
"181","ZBTB44",186
"182","ZNF521",185
"183","GMEB2",184
"184","NFKB2",184
"185","CREB3L2",181
"186","IRF8",181
"187","E2F5",180
"188","PKNOX1",180
"189","PLAGL1",180
"190","ZBED4",180
"191","ELMSAN1",179
"192","MTA3",179
"193","MNT",178
"194","ROR2",178
"195","STAT5B",177
"196","SMAD3",176
"197","TEAD1",175
"198","ZHX2",174
"199","ROR1",173
"200","HINFP",172
"201","PSPC1",172
"202","RBPJ",171
"203","RXRA",169
"204","USF1",168
"205","MGA",167
"206","PRDM2",166
"207","SMAD1",166
"208","ZBTB8B",166
"209","NFKBIB",165
"210","SOX11",165
"211","ZNF687",165
"212","RFXANK",164
"213","HMGA2",163
"214","JUND",163
"215","MTA1",163
"216","RELA",163
"217","ZNF692",162
"218","ZNF644",161
"219","JARID2",158
"220","TGIF1",157
"221","ARNT2",156
"222","CUX1",154
"223","E2F6",154
"224","SREBF1",154
"225","THAP9",153
"226","ATRX",151
"227","PKNOX2",151
"228","SALL1",150
"229","DBX2",149
"230","KLF11",149
"231","LEF1",147
"232","TCF7",146
"233","ZNF518A",145
"234","NR6A1",142
"235","NFAT5",141
"236","BACH1",140
"237","NRF1",136
"238","BF1",134
"239","ZNF618",133
"240","ETV1",132
"241","SOX4",130
"242","SOX3",127
"243","CKLF",121
"244","NFX1",121
"245","HES4",120
"246","DNMT3A",119
"247","DNMT3B",118
"248","ZNF710",115
"249","KAT6B",113
"250","CREBL2",110
"251","IRF6",108
"252","FOXP4",106
"253","MAFF",106
"254","ELK3",104
"255","MXD3",102
"256","KLF3",99
"257","MYC",99
"258","ETS2",94
"259","OVOL2",94
"260","IRF7",92
"261","MEIS2",90
"262","ZIC3",90
"263","ZNF423",86
"264","FOXD3",85
"265","ID4",85
"266","KLF5",83
"267","TFAP2A",83
"268","FOXA2",81
"269","GRHL2",80
"270","SOX21",80
"271","HIC2",79
"272","ID2",79
"273","ZNF462",79
"274","ID3",76
"275","FOXB1",75
"276","ETV4",73
"277","ID1",70
"278","PRDM14",69
"279","NEUROG2",68
"280","LHX5",66
"281","POU4F3",65
"282","SOX2",65
"283","ARID3C",61
"284","MSX1",60
"285","OTX1",59
"286","GLI2",56
"287","GBX2",52
"288","IRX2",52
"289","RFX2",51
"290","ETS1",50
"291","JUN",50
"292","SP5",50
"293","HESX1",49
"294","TFAP2C",49
"295","MEIS1",48
"296","ZEB2",48
"297","NFKBIA",47
"298","SIX3",46
"299","SNAI1",46
"300","ZIC5",46
"301","LMX1B",44
"302","DMBX1",43
"303","HES1",42
"304","MAFA",41
"305","ATF3",40
"306","EOMES",40
"307","FOXE1",40
"308","KLF6",40
"309","PBX3",38
"310","EGR1",37
"311","IRX3",34
"312","NANOG",34
"313","NKX6-2",34
"314","JDP2",31
"315","FOS",30
"316","NOTO",30
"317","SIX1",24
"318","CEBPB",20
"319","GATA2",20
"320","TSC22D3",19
"321","TBX6",17
"322","DLX5",8
"323","HOXB1",8
"324","EPAS1",4
"325","T",4
"326","CDX2",3
"327","PITX2",2
